ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
291,Expert Facebook Ads,Social Media Marketing (SMM),"Rp 1,500,000 - 3,000,000",10,"Halo workers,saya sedang mencari orang yang bisa mengiklankan di FB, IG (meta) untuk ecommerceDiharapkan yang sudah ada experience dropship, ecommerce. (testing, Manage, Optimize, scaling)Silahkan cantumkan portofolionya.Terima kasih",,,,,,,,,,,,,,,,,,,,
292,Mengembalikan akun facebook yg di block fb,Social Media Marketing (SMM),"Rp 150,000 - 350,000",7,"Saya punya saudara yg fb nya tidak bisa login lagi,pemilik memang lupa password, sudah coba pakai fitur lupa password tapi belum bisa juga, staatus akun facebook :No hp aktifemail aktifhanya saja 1 nomor hp nya udah kedaftar di beberapa akun facebook saya juga gak tau, karna dia juga sangat awam IT jadi dia engga ngerti jelaskannya kira kira adakah yg mampu memberi solusi dengan budget yang sesuai",,,,,,,,,,,,,,,,,,,,
293,Live Tiktok,Social Media Marketing (SMM),"Rp 1,000,000 - 1,000,000",30,"Produk pupuk di cari host wanita jika punya gear & tempat buat live lebih di utamakantolong lampirkan portfolio, gear live yang di gunakan & nomor wa.Live dengan durasi hanya 2jam perharinya selama 1bulan.",,,,,,,,,,,,,,,,,,,,
294,butuh seseorang yang ahli bidang Digital Marketing,Social Media Marketing (SMM),"Rp 250,000 - 350,000",3,"Halo saya membutuhkan seseorang yang ahli bidang digital marketing terutama yang memiliki title minimal S1 Digital Marketing atau Management Business untuk membantu promosikan layanan kami yang sedang berjalan di bidang IT & Designers, materi sudah kami sediakan tinggal promosikan ke list group tertarget. Silahkan untuk kirimkan CV anda dan project yang pernah anda kerjakan, terimakasih.",,,,,,,,,,,,,,,,,,,,
295,Butuh Akun Google Adsense Indonesia Non Hosted Berumur,Google Adsense,"Rp 1,000,000 - 3,500,000",99,Dicari Akun Google Adsense Indonesia Non Hosted Lamakalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2.untuk yg baru diusahakan ada domain yg terhubung.Tulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/Pin atau fresh✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas,,,,,,,,,,,,,,,,,,,,
296,LIVE STREAMER TIKTOK,Social Media Marketing (SMM),"Rp 1,000,000 - 1,500,000",30,"Dicari 3 host live streamer dengan kondisi kulit baik untuk produk skincare.Diutamakan punya pengalaman & tempat untuk live/gear untuk liveMohon lampirkan portfolio history live yang pernah dijalankan, gear live yang di gunakan & nomor wa.",,,,,,,,,,,,,,,,,,,,
297,Live Tiktok,Social Media Marketing (SMM),"Rp 750,000 - 2,000,000",30,"Produk tas Perempuandi cari host wanita jika punya gear & tempat buat live lebih di utamakantolong lampirkan portfolio, gear live yang di gunakan & nomor wa",,,,,,,,,,,,,,,,,,,,
298,Admin CS Online Shop,Social Media Marketing (SMM),"Rp 350,000 - 500,000",60,"Pekerjaan menjadi cs toko online di toko shopee,lazada,tokped selama 1 minggu kami, list harian- balas chat- balas kolom diskusi",,,,,,,,,,,,,,,,,,,,
299,Dicari Akun Google Adsense Indonesia Non Hosted untuk Web,Google Adsense,"Rp 1,000,000 - 3,500,000",99,Dicari Akun Google Adsense Indonesia Non Hosted Lamakalo bisa dashboard Dollar (2015 awal ke bawah) atau yang baru tidak apa2.untuk yg baru diusahakan ada domain yg terhubung.Tulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/Pin atau fresh✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.,,,,,,,,,,,,,,,,,,,,
300,Asisten Sosial Media Spesialist,Social Media Marketing (SMM),"Rp 1,000,000 - 1,500,000",7,"Saya membutuhkan virutal asisten sosial media spesialist,Jika memungkinkan berdomisili di Surabaya dan sekitarnya. Agar kordinasinya lebih fleksibel dan menyenangkan.Niche sosial medianya yaitu agrobisnis (Pertanian, peternakan, perikanan).Dengan jobdesk:Menghubungi narasumber untuk kolaborasiMencari refrensi kontenPengumpulan data terkait sosial mediaHarga tertera yaitu harga untuk satu bulan, sertakan portfolio dan pengalamannya ya.Domisili selain Surabaya gimana?, gpp silahkan dikirim aja portfolionya.Kali saja saya terpincut, dan sesi kordinasi bisa kita lakukan virtual nantinya.",,,,,,,,,,,,,,,,,,,,
301,Dicari content creator untuk handle akun instagram tentang edukasi marketing,Social Media Marketing (SMM),"Rp 1,000,000 - 1,500,000",30,Syarat: Bisa membuat konten feed dan reels/tiktokMemahami tentang digital marketing sebagai topik kontenPandai membuat konten (copywriting)Jobdesk:1. Membuat konten instagram & tiktok setiap hari (bisa mirroring)2. Membuat konten linkedin 3 kali per minggu3. available untuk meeting di jam kerjaJika berminat dan memenuhi kualifikasi bisa langsung bid dengan mencantumkan portfolio dan nomor handphone. Terima kasih,,,,,,,,,,,,,,,,,,,,
302,Butuh Brand & Marketing Manager,Social Media Marketing (SMM),"Rp 350,000 - 500,000",7,"Butuh Brand & Marketing Specialist yang paham mengenai branding & marketing untuk bisnis catering online selama 1 minggu dengan jobdesk sbb:Berkoordinasi dengan tim marketing kami, membuat strategi campaign sesuai guideline, alokasi budget, menentukan ROI, KPI & target metriks. Branding Guideline, Positioning, Target Market & Content Pillar semua sudah disediakan. Note: Mohon dibaca ulang, posisi yang dibutuhkan adalah MANAGER, bukan yang berpengalaman sebagai content designer, copywriter, foto/videographer, dll.",,,,,,,,,,,,,,,,,,,,
303,Mencari orang IT yang bisa balikin akun instagram yang ke banned permanen,Social Media,"Rp 500,000 - 1,000,000",7,"Posisi akun instagram sekarang sudah gak bisa banding, jika lakukan banding maka di form banding tertulis ""Nama pengguna tidak valid"" Tetapi saya tidak pernah dapat email kalau akun Instagram saya ke banned permanen...Mohon jika ada yang bisa menyelesaikan permasalahan saya...Akun saya adalah akun sah milik saya dan saya dapat mempertanggung jawab kan nya...",,,,,,,,,,,,,,,,,,,,
304,Content Creator & Talent Reels & TikTok,Video Editing,"Rp 1,600,000 - 2,500,000",5,"Produk keripik singkok terbaru CASSA (Instagram @eatcassa dan TikTok @cassa.official) sedang mencari freelance content creator dengan ketentuan sebagai berikut:Perempuan usia 19 - 30 tahun.Berpenampilan menarik, memiliki lifestyle perkotaan, memiliki selera visual yang estetik.Memiliki handphone dengan spesifikasi kamera yang baik.Mampu mengedit dengan aplikasi CapCut.Memiliki kemampuan Bahasa Indonesia yang sangat baik dan diutamakan bisa ber-Bahasa Inggris dasar dengan baik.Job description:Membuat video sebanyak 8-10 buah per bulan  (2 - 3 video per minggu)Sebagian video menampilkan wajah diriKonsep akan di-brief dan deadline ditentukan oleh tim CASSA setiap bulannyaRate:Rp200.000 - Rp250.000 per video Bagi yang berminat, tolong cantumkan minimal 3 link video Reels atau TikTok buatan sendiri dan salah satunya menampilkan wajah sendiri. Video bisa berupa konsep a day in my life, food review, cafe review, traveling, dan yang berhubungan dengan gaya hidup modern.Yang tidak mencantumkan 3 link video, tidak akan diproses. Terima kasih.",,,,,,,,,,,,,,,,,,,,
305,Dibeli Akun Google Adsense untuk Website,Google Adsense,"Rp 1,000,000 - 6,000,000",90,"Dicari untuk dibeli, Akun Google Adsense untuk website, sudah PIN, PIN + PO, atau freshTulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/PIN atau fresh✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.Terimakasih",,,,,,,,,,,,,,,,,,,,
306,Butuh game unity,Unity,"Rp 1,000,000 - 1,500,000",7,Saya membutuhkan game yang dibuat dengan unitydetailnya saya lampirkan,,,,,,,,,,,,,,,,,,,,
307,Butuh game unity,Unity,"Rp 750,000 - 1,000,000",5,"Saya membutuhkan game dengan unity sederhana hanya game pembelajaran perhitungan tambah, pengurangan, pembagian, dan perkalian, saya sudah memiliki assetnya",,,,,,,,,,,,,,,,,,,,
308,Pembuatan edu games untuk anak TK,3D Animation,"Rp 3,000,000 - 5,000,000",7,"Saya ada cerita seperti dibawah ini dan mau dibuatkan dalam bentuk games menggunakan unity. Anaklakilaki bangun tidur (Chalenge : Merapikan tempat tidur : Merapikan Bantal,Guling dan Kain Sprei) (Ada opsi gambar bantal, guling, kain, boneka, sikatgigi : anak nanti disuruh pilih)Anak maumandi, “apa yang kita pakai saat mandi?” (Ada opsi : Sikat gigi dan odol,Sabun, keran air, sendok garpu, dan tas : Anak (pemain) disuruh memilih)(Videotutorial menyikat gigi) “Teman teman, sikat giginya yang bersih ya, disikatgigi atas, bawah, depan dan belakang”Anakseolah sudah selesai mandi, anak menanyakan “Apa saja yang saya pilih untukmemakai seragam sekolah hari ini?” (Ada opsi : Baju sekolah, celana sekolah,dasi kupu-kupu, sepatu, tas, sendal, sikat gigi)(Videotutorial  mengancingkan baju sekolah :Teman teman begini cara mengancingkan baju, jangan ada lobang kancing yangterlewat ya)Anakseolah sudah memakai seragam sekolah dan diantar sama ayahnya naik sepeda motorke TK dengan memakai helmAnaksampai di sekolah TK menyalam Ibu guru dan menyapa teman-temannyaAnak bermainmainan di sekolah, kemudian Ibu guru meminta anak merapikan mainannya “AnakIbu, ayo susun mainannya ya” | “Teman teman, mainannya kita susun di mana ya?”(Opsi : Anak memasukkan mainan ke keranjang mainan, Anak memasukkan mainan kepelastik kresek)Anak makanBersama teman-teman di sekolah “Teman-teman jika kita mau makan, kita perlupakai apa ya?”  (Opsi : Sendok garpu,sikat gigi, kemoceng)Anakbersiap pulang sekolah “Sekarang waktunya pulang sekolah, apa yang harus sayabawa?” (Opsi : Tas, Keranjang Belanja, Topi Pantai)Anakpulang dijemput naik sepeda motor dan memakai helm. “Daaa, sampai jumpaKembali”",,,,,,,,,,,,,,,,,,,,
309,[Dicari] Game Developer untuk Tiktok Live Interactive Based on Gift,Game Programming,"Rp 1,000,000 - 2,000,000",2,"Hi workers, saya membutuhkan satu game berbasis javascript/unity yang siap digunakan untuk aplikasi stream seperti Tiktok. Dimana game ini dapat react sesuai dengan gift yang diberikan oleh viewer.Game yang dibutuhkan adalah game yang kompetitif.Silahkan tawarkan game yang sudah dibuat beserta harganya.Terima kasih.",,,,,,,,,,,,,,,,,,,,
310,Visual Novel Typing Games Unity2D,Unity,"Rp 1,000,000 - 1,500,000",30,Dear workers       Kali ini saya membutuhkan pembuatan game 2d Unity. Di genre typing games + visual novel.    Visual novel seperti doki2. Namun dgn trigger typing seperti game type racer.    Genre ini sudah ada yg buat tp belum rilis.    Outputnya saya butuh framework saja. Asset dan video cutscenes dari ak atau cukup pakai dummy asset sementara.  Selama proses pengerjaan workers di harapkan memberikan update progress via zoom setiap minggu nya.    Cantumkan no wa. Nanti ak kirim gdd dan game referensi nya.    micro mechanic yg tercover misal  Highlight teks ketika typingError warning ketika salah pengetikanOpsi pilihan ganda Saving systemStory flow si visual novel nya      Thx    Haba,,,,,,,,,,,,,,,,,,,,
311,Dibutuhkan pembuatan Sensor Arduino & AI Berbasis Camera,Microcontroller,"Rp 5,000,000 - 10,000,00",20,"Yang dibutuhkan 2 SensorSensor A (Untuk Deteksi Jenis Kendaraan) Ada 2 Opsi Sensor opsi 1sensor mengetahui kendaraan lewat apakah mobil, motor dan truck, berdasarkan hasil capture/foto camera menggunakan AI, apabila truk, akan kirim perintah ke sensor B Sensor Opsi 2Sensor ketinggian, apabila kendaraan yang lewat tinggi sudah sesuai sensor, maka akan kirim perintah ke sensor B Sensor B (Untuk Deteksi Muatan)Sensor B ini menggunakan Camera, apabila ada perintah dari Sensor A, sensor B akan menfoto/Capture muatan yg dibawa oleh truk, dengan AI, akan bisa di baca apakah yg dibawa jenis nya batu, tanah, pasir dllLalu hasil foto dan hasil AI dikirim datanya ke dashboard, untuk di rekap berapa banyak kendaraan truk yang membawa tanah, pasir dan batu dalam 1 hariCatatan : 1.     Power listrik menggunakan solarcell baik untuk camera dan sensor 2.     Pengiriman data ke dashboard menggunakan modem GSM3.     Proses pengiriman data bisa real time atau schedule setiap ada proses selesai dari sensor B4.     Database truk, tanah, pasir dan batu, dll, kita yg siapkan5.      Alat yang dibutuhkan untuk proses pembuatan sensor akan kita siapkan semua, spesifikasi nanti silahkan di info apa sajaSilahkan di bid ‘Terima Kasih",,,,,,,,,,,,,,,,,,,,
312,Membuat BOT pembelian tiket,Laravel Framework,"Rp 2,000,000 - 2,500,000",7,"Bisa membuat bot untuk pembelian tiket agar otomatis, jadi contoh seperti bot untuk pembelian di flash sale.",,,,,,,,,,,,,,,,,,,,
313,Bikin tombol shutter untuk kamera DSLR/Mirrorles,Electronic,"Rp 500,000 - 1,000,000",7,Bikin tombol momentary untuk kamera.Press ON to Shutter. Release OFF,,,,,,,,,,,,,,,,,,,,
314,Kalibrasi dan Sertifikat H2S Level II,Kimia,"Rp 5,000,000 - 10,000,00",60,"Dibutuhkan tenaga yang bersertifikat H2S Level II untuk pekerjaan kalibrasi alat sensor atau ukur hydrogen sulfida pada project di pertamina, yang bertugas ikut dan mengawasi selama pekerjaan berlangsung apabila ada yang berminat silahkan bid projects ini makasih",,,,,,,,,,,,,,,,,,,,
315,Membuat model LSTM menggunakan bahasa Go,Machine Learning,"Rp 700,000 - 1,000,000",14,Membuat model LSTM menggunakan bahasa Go untuk kebutuhan text generation. Untuk datasetnya sudah terlampir.,,,,,,,,,,,,,,,,,,,,
316,Benerin Error di Software/ File Excel VBA untuk Scraper,Microsoft Excel,"Rp 300,000 - 1,000,000",3,"Hi guys, saya punya satu tools yang biasa saya pakai untuk get data dari internet pakai file Microsoft Excel. Isinya VBA yang bisa scraping data. Cuma bebrapa hari yang lalu saya dapat error mungkin karena ada perubahan di website. Sedangkan developer sebelumnya sudah tidak bisa dihubungi.Error yang ditunjukin error 10001, Microsoft Visual Basic Run-time error '10001': Error parsing JSON:",,,,,,,,,,,,,,,,,,,,
317,Notifikasi di googlesheet berdasarkan tanggal,Microsoft Excel,"Rp 150,000 - 300,000",10,Notifikasi di googlesheet berdasarkan tanggal (jatuh tempo)misal tanggal 1 mei 2023 jatuh tempo 2 mei 2023 (sinkron) maka dia akan memberikan notifikasi.....,,,,,,,,,,,,,,,,,,,,
318,Program excel perhitungan transfer panas,Microsoft Excel,"Rp 200,000 - 500,000",14,"Dear teman2 project,saya membutuhkan program excel, untuk perhitungan transfer panas, dari pompa hingga ke media yang ingin dipanaskan,disini media yang ingin dipanaskan itu berputar, dan transfer oli panas menggunakan pipa, bisakah teman2 project membantu saya??jika ada yang bisa, berikan penawaran harga terbaiknya,terima kasih",,,,,,,,,,,,,,,,,,,,
319,Tenaga Pelatih MS Excel,Microsoft Excel,"Rp 15,000,000 - 18,000,0",90,"Kami membutuhkan freelancer Sebagai Tenaga Pelatih untuk mengajar MS Excel   ketentuan  mengajar 5 hari dalam seminggu  (senin - jumat) 1 hari 3 sesi mengajar, sbb :  Sesi pagi 09.00 - 12.00  Sesi siang 13.00 - 15.00  Sesi sore 17.00 - 20.30  rutin setiap hari hanya untuk yang bisa fulltime  kontrak 3 bulan selama project berlangsung. Syarat : Pengalaman di bidang Kerja atau Pengalaman Mengajar   Memiliki kualifikasi kompetensi yang relevan, yang dibuktikan dengan riwayat pengalaman 5 tahun di bidang yang relevan dengan Bidang Excel  - Memiliki Sertifikat kompetensi Excel Punya Akun Linkedin dan Mau di update untuk disesuaikan dengan profile Tenaga Pelatih",,,,,,,,,,,,,,,,,,,,
320,jasa buat EA forex robot trading,Web Programming,"Rp 3,500,000 - 5,000,000",30,lagi cari jasa untuk buat EA/ robot trading untuk forex nih.bs ngobrol & sesuaikan bid nya kemudian.perlu bs dpake u/win rate lebih tinggi drpda lose ratebs dpake multi licensebila ada track record lebih bagusada opsi strategi dr dev nya,,,,,,,,,,,,,,,,,,,,
321,Butuh Bantuan Untuk Export Project Unity 2021 Menggunakan MacBook,Unity,"Rp 100,000 - 150,000",1,"Mohon dibaca dgn baik ya, saya perlu org buat bantu export project unity saya. Usahakan yg paham betul aplikasi unity & sudah terinstall aplikasi unity di macbook nya. Hanya export saja ke format IPA, tidak ada tugas tugas tambahan hanya bantu export saja.",,,,,,,,,,,,,,,,,,,,
322,Ms Access,Microsoft Access,"Rp 500,000 - 800,000",14,"Dibutuhkan jasa untuk membuat fitur Pembelian pada Ms Acces. Dapat membuat desain tampilan, paham mengenai Query & VBA Ms Acces, serta unsur Ms Acces lainnya. Desain alur pembelian sudah tersedia. PS : Tolong sertakan portofolio selengkap-lengkap.  Terimakasih",,,,,,,,,,,,,,,,,,,,
323,ms xls excell google sheet,Microsoft Excel,"Rp 2,000,000 - 3,000,000",7,menggunakan plaftorm  gsheetjob-input 100 data-convert ke data grafik batang-save dalam bentuk pdf,,,,,,,,,,,,,,,,,,,,
324,Transformasi formula excelsheet pengukuran kedalam software,Microsoft Excel,"Rp 2,500,000 - 5,000,000",21,"Kami mempunyai excelsheet untuk kalkulasi data kalibrasi alat ukur, kami ingin mentransformasi formula kalkulasi di excelsheet tsb kedalam software Metquay (bisa dicari di google).Rekan2 yang mempunyai basic kalibrasi & programmer sangat direkomendasikan untuk project ini.",,,,,,,,,,,,,,,,,,,,
325,Bantu Custom Domain di Project Saya,Apache Nginx,"Rp 300,000 - 500,000",1,"Malam teman2Jadi saya memiliki project dengan server apache dan domainnya ada di cloudflare.Ini merupakan project landingpage builder, yang tiap2 user memiliki subdomain dari domain utamanya untuk view landingpagenya, misalkan sub.domaiproject.com/link-sayaNah disatu kasus user ingin memakai domain sendiri, misalkan domainuser.com, jadi saya ingin ketika user sudah memasukkan record maka kedua domain tersebut tetap bisa dibuka secara bersamaan.Saya sudah lakukan :1. Memasukkan CNAME records    CNAME Name: domainuser.com dan CONTENT : sub.domaiproject.com    CNAME Name : WWW dan CONTENT : sub.domaiproject.com2. Add new conf buat domain baru dan sudah di a2ensite domain tersebut3. Sudah ditunggu lebih dari 12 jam, cuman masih belum bisa jugaMohon bantuannya, nnti kita bisa diskusi biar saya yang eksekusi",,,,,,,,,,,,,,,,,,,,
326,Bridging bpjs (Vclaim),Web Programming,"Rp 5,000,000 - 8,000,000",7,"Dibutuhkan untuk integrasi SIMRS dengan bpjs vclaim, diutamakan yang sudah pernah membuat sebelumnya dan sudah melewati proses UAT.",,,,,,,,,,,,,,,,,,,,
327,Butuh bantuan terkait psikogram,Data Analysis,"Rp 1,000,000 - 2,000,000",30,"Selamat malamSaya butuh bantuan terkait pembuatan psikogramMulai dari pemilihan soal soal, pemrosesan jawaban, sampai dengan ke penyusunan psikogramWaktu projek 1 bulan",,,,,,,,,,,,,,,,,,,,
328,Apps MOM meeting,Mobile Programming,"Rp 10,000,000 - 15,000,0",14,"Kriteria apps yang diinginkan kurang lebih :1. Tampilan awal login adalah list devisi diperusahaan yang ada meeting dihari ini beserta MOM meetingnya.2. Ada menu untuk tulis MOM langsung dari apps dan bisa tag serta notif peserta atau atasan yang ingin di notif.3. MOM pada apps dapat di download berupa PDF, DOC.4. Ada menu progress untuk tracking progress dari hal yang ada di MOM dan bisa attach langsung ke MOMnya juga.5. Menu search untuk mencari MOM sesuai kriteria tanggal, devisi, nama peserta dan judul MOMnya, jika bisa dibuat search sesuai isi MOM akan lebih baik.6. Ada menu untuk melihat list MOM yang diupload atau ditulis langsung menggunakan apps.7. Level untuk setiap user yang terbagi menjadi Devisi dan Jabatan.8. Menu setting untuk mengatur user mana yang dapat melihat MOM apa saja.",,,,,,,,,,,,,,,,,,,,
329,Software registrasi tamu dan print id,Mobile Programming,"Rp 1,000,000 - 3,000,000",12,Butuh Software untuk input penerima tamu seminarKemudian foto wajah serta print ke kertas foto template.Data yang di print : foto wajah + nama peserta,,,,,,,,,,,,,,,,,,,,
330,Pra Survey Penelitian,Social Media Marketing (SMM),"Rp 100,000 - 200,000",7,"Saya membutuhkan jasa survey untuk menyebarkan kuesioner penelitian tentang Perilaku Kerja Inovatif. Adapun kriteria responden yang dibutuhkan adalah sebagai berikut : Jumlah responden 30 orang karyawan divisi marketing perusahaan transportasi online (10 orang dari Gojek, 10 orang dari Grab, 10 orang dari Maxim) Karyawan tetap dengan masa kerja minimum 2 tahun.",,,,,,,,,,,,,,,,,,,,
331,OLAH DATA PENELITIAN MENGGUNAKAN SOFTWARE SPSS,Data Analysis,"Rp 200,000 - 250,000",14,"saya membutuhkan bantuan untuk olah data penelitian saya, saya berharap  dibantu dijelaskan juga agar saya juga ikut mengerti",,,,,,,,,,,,,,,,,,,,
332,Analisis sentimen dengan k means,Data Analysis,"Rp 200,000 - 400,000",3,"Saya sudah buat analisi sentimen dgn kemana, tapi ada kendala dibagian akurasi evaluasi.Pengukuran evaluasi nya menggunakan sillhouett Coefficient,Hanya tinggal mengukur evaluasi aja.Saya mengerjakan nya dirapid miner",,,,,,,,,,,,,,,,,,,,
333,Input data ke sistem accounting,Microsoft Excel,"Rp 500,000 - 750,000",1,"Saya penjual online butuh seorang input data 20-60 data per hari.Data raw ada di line group dengan format order dan akan diinput ke sistem setiap hari.Tugas : - Input data customer- Input data penjualanClosing order jam 21.00, jadi bisa input mulai jam 20.30 atau 20.45project bulanan.",,,,,,,,,,,,,,,,,,,,
334,Membutuhkan seseorang untuk scrapping data internet,Web Scrapping,"Rp 300,000 - 750,000",3,"Kami membutuhkan seseorang untuk scraping data di internet menggunakan python sebanyak 300 data, detail project akan saya berikan setelah melakukan bid project, silahkan untuk mengirimkan CV/Portfolio",,,,,,,,,,,,,,,,,,,,
335,Seeking a wooden cutlery handle Factory,Affiliate Marketing,"Rp 150,000 - 250,000",5,"Saya mencari orang yang memiliki list-list pabrik kayu yang bisa bekerja sama dalam produksi gagang sendok (handle spoon), dimana pabrik kayu tersebut hanya memproduksi gagang sendok kayu, untuk bowlnya tetap stainless. Minimal 5 list pabrik di utamakan di Indonesia, diluar negeri juga bisa sebagai referensi. NB : Pabrik jelas, dan benar bisa produksi seperti saya jelaskan. Contoh : Gagang Sendok (Handle spoon)",,,,,,,,,,,,,,,,,,,,
336,Dibutuhkan Data Collector Mencari Data Bengkel Mobil Jakarta Barat & Pusat,Data Entry,"Rp 150,000 - 300,000",7,"Dibutuhkan Data Collector Mencari Data Bengkel Mobil Jakarta Barat & PusatData yg dibutuhkan adalah sebagai berikut1. merek, harga & biaya pemasangan untuk blind spot monitoring 2. merek, harga & biaya camera 360 3. merek, harga & biaya sensor depan mobildilengkapi juga nama bengkel, share loc google map dan no WA yg bisa dihubungitotal bengkel 10 untuk semua tempatlist bengkel harus difilter sebelumnya dengan rating bagus di google atau review bagus dari customermobil yg akan dipasang adalah brio 2019data yang dibuat berupa file excel",,,,,,,,,,,,,,,,,,,,
337,Konsultasi Tentang Akun Cloud Public,Data Entry,"Rp 1,500,000 - 5,000,000",30,"Halo,Saya membutuhkan bantuan dan informasi mengenai Akun public cloud account seperti AWS, Azure, Linode ataupun Oracle Cloud beserta vcc yang bisa digunakan.Saya minta teman-teman freelancer untuk dapat memberikan informasi dan nantinya juga akan membantu pembuatan akun nya.Bagaimana pendaftarannyaPembuatannya apakah butuh biaya, biasanya estimasinya berapa.Apakah bersedia untuk jangka panjang.Bagi yang serius bisa isi form pendaftarannya di https://forms.gle/u7JbExqQ4eDZY2WF9Bid jika yang sudah pernah atau bisa membuat akunnya.",,,,,,,,,,,,,,,,,,,,
338,(BUTUH CEPAT) Jasa Sebar Kuesioner Online Khusus Daerah Jakarta & Jawa Barat!,Data Entry,"Rp 300,000 - 500,000",3,Saya membutuhkan jasa untuk menyebarkan kuesioner online mengenai Media Informasi Pendidikan Anti Korupsi.Target responden: anak-anak SD kelas 4-6 namun dapat dibantu isi oleh orang tua anak-anak SD kelas 4-6Domisili: wilayah Jakarta & Jawa Barat.Dengan Jumlah target reponden sebanyak 100 Real RespondenKuesioner yang disebarkan berupa link Google Form sehingga dapat disebarkan secara online.Budget: Rp300.000  (jika bisa selesai lebih cepat akan saya berikan tambahan insentif),,,,,,,,,,,,,,,,,,,,
339,Content Creator Tiktok/Reels,Video Editing,"Rp 500,000 - 1,000,000",7,"Dibutuhkan cepat freelance content creator untuk pembuatan video Tiktok/Reels :8 (delapan) videoProduk Herbal & KesehatanDomisili Surabaya lebih di utamakanSertakan CV & porfotolio terbaik kamu, email ke hrd.bionidea@gmail.com",,,,,,,,,,,,,,,,,,,,
340,EDITING OFFLINE VIDEO EDUKASI,Video Editing,"Rp 500,000 - 750,000",1,"Dibutuhkan cepatttt!!!! Freelancer handal dan terpercaya dalam melakukan editing video offline. Adapun lingkup pekerjaan:1. Melakukan editing offline raw material video hasil shooting dan sub tittle dalam B Indonesia2. Durasi video : 3 - 5 menit4. Waktu pengerjaan offline editing : 10 video per hariJika Anda memenuhi kualifikasi tersebut di atas, silakan ajukan penawaran terbaik Anda!",,,,,,,,,,,,,,,,,,,,
341,Konten Video Reels,Video Editing,"Rp 500,000 - 600,000",30,Dicari konten kreator atau video editor untuk membuat 5 video reels Kebaya / Dress durasi maksimal 1 menit per video lokasi surabaya barat.,,,,,,,,,,,,,,,,,,,,
342,FOTO MODEL COWOK PROFESSIONAL TEMA 'ENTERPRENEUR',Photography,"Rp 500,000 - 1,000,000",15,"Kami, brand skincare, sedang membutuhkan professional photos menggunakan talent pria dengan tema 'Career Man/Businessman/Enterpreneur'. Kami hanya memerlukan 5 foto saja.Kriteria Talent :1). Cowok, usia 28-352). Fotogenik, Manly, Tinggi dan Gagah. Gallant Man3). Wajah bersih sehat dan tidak ada masalah kulit wajah4) Tidak bertatoLokasi disesuaikan dengan Tema. Budget sesuai dengan penawaran. Contoh fotonya kami sertakan di attachment ya.Bagi yang berminat silahkan bid dan drop your portofolios.Thank you",,,,,,,,,,,,,,,,,,,,
343,Motion Graphic Untuk Video Explainer,Video Editing,"Rp 2,500,000 - 3,500,000",14,Saya membutuhkan 4 buah video motion grafis untuk video explainer dengan durasi 1 menit tanpa voice over. Untuk referensi video bisa cek di link ini  https://youtu.be/pPbmd5mbs5Q,,,,,,,,,,,,,,,,,,,,
344,Editing 12 Shortt Video untuk konten Tiktok,Video Editing,"Rp 200,000 - 500,000",7,"HiSaya ada 12 video rata-rata 1 menit untuk di upload ke tiktokButuh freelancer untuk bisa bantu editing sebaik mungkinHarapan hasil editingnya seperti akun berikut :https://www.tiktok.com/@fadiladitya_ehttps://www.tiktok.com/@felicia.tjiasaka/video/7223726230338538779?is_from_webapp=1&sender_device=pc&web_id=7221384834656093697https://www.tiktok.com/@raymondchins/video/7234507981692488966?is_from_webapp=1&sender_device=pc&web_id=7221384834656093697Bebas mau pakai aplikasi apapun, yg penting hasil memuaskanSilahkan atach hasil project video anda sebelumnya",,,,,,,,,,,,,,,,,,,,
345,Dibutuhkan jasa fotografi produk untuk dimasukkan ke katalog,Photography,"Rp 500,000 - 1,000,000",7,"Halo, saya sedang membutuhkan seorang fotografer yang memiliki kamera profesional yang baik untuk bisa memfoto produk dengan bagus, beserta peralatan yang dibutuhkan. Jumlah produk yang perlu difoto ada sekitar 80an. Bagi yang bid, tolong lampirkan beberapa contoh foto produknya, dan bisa diinfokan equipment yang dimiliki. Terima kasihNB: Lokasi foto di Jakarta",,,,,,,,,,,,,,,,,,,,
346,pengambilan foto 360 gedung perpusnas,Photography,"Rp 500,000 - 1,000,000",1,Pengambilan foto perpusnas 15 lantai 360',,,,,,,,,,,,,,,,,,,,
347,VO Company Profile,Voice Talent,"Rp 150,000 - 300,000",3,"Halo, saya membutuhkan Voice Over untuk pembuatan Video Company Profile, Durasi sekitar 1-2 menit.Silahkan attach contoh Vo yang pernah dibuat,Regards,",,,,,,,,,,,,,,,,,,,,
